sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
WAT005,4608,4382,4252,130,3838,0.97,172,3,41,1629
WAT006D,3010,2814,2672,142,1708,0.97,154,3,26,220
WAT007,70,65,62,3,60,0.97,17,3,2,10
WAT008,84,80,76,4,72,0.97,11,3,2,26
WAT009,2778,2587,2464,123,1914,0.97,372,3,53,512
WAT010D,7596,7089,6770,319,5416,0.97,361,3,67,1880
WAT011,5416,5031,4784,247,3712,0.97,327,3,48,1131
WAT012D,24212,23075,22308,767,20752,0.97,432,3,77,9913
WAT013,24886,23588,22742,846,19358,0.97,861,3,180,7200
WAT014,17778,16703,16018,685,14418,0.97,967,3,163,6110
WAT015,28492,27089,26186,903,23848,0.97,292,3,43,11628
WAT016,21028,19368,18250,1118,14186,0.97,1190,3,192,5680
WAT017,23138,21340,20208,1132,16570,0.97,1896,3,411,6339
WAT018,10128,9310,8772,538,6218,0.97,388,3,72,2046
WAT019,9274,8735,8378,357,7480,0.97,190,3,27,3554
WAT020,12902,12034,11596,438,10844,0.97,283,3,43,5119
WAT021,6676,6227,5980,247,5446,0.97,576,3,89,2090
WAT022,3478,3291,3158,133,2842,0.97,104,3,13,1304
WAT023,7240,6858,6614,244,6070,0.97,208,3,35,2831
WAT024,10254,9615,9114,501,7844,0.97,796,3,173,3010
WAT025D,10838,10193,9766,427,8340,0.97,1127,3,242,3025
WAT026,21440,19874,18862,1012,17556,0.97,1280,3,236,7545
WAT027,13926,12828,12118,710,9932,0.97,517,3,84,4138
WAT028,20552,19021,17978,1043,14220,0.97,775,3,139,3866
WAT029,8732,8123,7718,405,6708,0.97,664,3,134,2274
WAT030,7754,7148,6736,412,5724,0.97,250,3,40,2143
WAT031,14194,13018,12192,826,9132,0.97,619,3,112,2865
WAT032,16140,14705,13658,1047,10402,0.97,654,3,108,3894
WAT033,5786,5150,4714,436,2896,0.97,350,3,62,946
WAT034,9256,8244,7570,674,4626,0.97,285,3,45,1157
WAT035,7920,7098,6580,518,5180,0.97,757,3,98,1207
WAT036,19764,18249,17304,945,13290,0.97,1353,3,250,3627
WAT037,10602,9915,9546,369,7250,0.97,753,3,146,1588
WAT038,4852,3944,3724,220,3174,0.97,364,3,115,1205
WAT039,7982,7092,6750,342,4722,0.97,494,3,84,1252
WAT040,21438,19304,18034,1270,13974,0.97,1351,3,393,5538
WAT041,26750,24511,23246,1265,19280,0.97,670,3,197,8895
WAT042,8116,6828,6386,442,5122,0.97,842,3,157,1625
WAT043,9042,8269,7744,525,6626,0.97,632,3,101,2599
WAT044D,0,0,0,0,0,0.97,0,3,0,0
WAT045,2,0,0,0,0,0.97,0,3,0,0
WAT046,0,0,0,0,0,0.97,0,3,0,0
WAT047D,0,0,0,0,0,0.97,0,3,0,0
WAT048,0,0,0,0,0,0.97,0,3,0,0
WAT049D,0,0,0,0,0,0.97,0,3,0,0
WAT050,0,0,0,0,0,0.97,0,3,0,0
WAT051,0,0,0,0,0,0.97,0,3,0,0
WAT052,10096,9628,9322,306,8864,0.97,56,3,9,4380
WAT053,9126,8717,8444,273,7798,0.97,406,3,76,3325
WAT054,13340,12456,11846,610,10354,0.97,589,3,93,4357
WAT055,9288,8808,8482,326,7602,0.97,465,3,81,3243
WAT056,7910,7051,6642,409,5630,0.97,604,3,138,2161
WAT057,6890,6533,6290,243,5760,0.97,232,3,49,2640
WAT058,10706,9990,9528,462,8406,0.97,453,3,73,3715
WAT059D,21408,19839,18742,1097,17100,0.97,779,3,185,7587
WAT060D,57152,54081,52188,1893,49568,0.97,918,3,263,23022
WAT061D,51528,47794,45412,2382,37130,0.97,943,3,258,15542
WAT062D,32492,30011,28336,1675,21664,0.97,1115,3,244,6861
WAT063D,38340,36012,34342,1670,32302,0.97,589,3,144,15258
WAT064D,57312,53930,51718,2212,47430,0.97,909,3,242,22671
WAT065D,27678,25736,24476,1260,21440,0.97,745,3,187,9556
WBLANK1,57530,1077,68,1009,0,0.97,0,3,0,0
WBLANK2,38026,26864,24936,1928,21826,0.97,10,3,6,10906
WBLANK3,8154,502,250,252,158,0.97,1,3,1,75
WBLANK4,2000,604,558,46,530,0.97,3,3,1,260
WBLANK5,1220,34,8,26,0,0.97,0,3,0,0
